pool,bucket,pool_type,pool_address,astroport_tvl_usd,astroport_day_volume_usd,latest_epoch_avg_liquidity,latest_epoch,deprecated,is_deregistered,fetch_ok
LUNA-ampLUNA,project,concentrated,terra1cupwgntu082ypw2ztgtxfzcenexcu6ggp5zzunn3yzfwgrvdcclqgjrjqg,1221310.00,18332.60,1225699.25,184,false,false,true
LUNA-USDC,stable,concentrated,terra1v3lqxl0eyte9x3nhdgcj8hwvjq76aupnnzz0yll8mxs5cckc29pqvg2scu,723306.00,152420.00,726245.28,184,false,false,true
USDC-EURe,bluechip,concentrated,terra1ys7edvw89krf47n4zsz4c4m9das7ppltjtfv2epw85thqpvl6hhqn55m6y,314892.00,7956.40,315568.40,184,false,false,true
USDC-USDT,bluechip,stable,terra1dnssvse0fqw4d4gqc8kvchfud5r6e8cr7w9cdpervhl2pgr2eecquujpg6,311654.00,803.56,311577.36,184,false,false,true
LUNA-WBTC,bluechip,concentrated,terra1mea829xtsnxwv4l9lhzs0tzpnyamjpz5y45a9tpp06jgdhjd48yqc4ales,133768.00,3966.79,134642.40,184,false,false,true
USDC-SOLID,project,xyk,terra1fwjxdjpl98shj20l4swlen9hyu4lhvekrvqkqn393lzzghmsn2wqjdnvpu,118655.00,211.41,118665.63,184,false,false,true
LUNA-PAXG,bluechip,concentrated,terra1xgdyzzhs2v2ne3us2kyj5ry47fwc7uk44k035dyyygq42xechwwqlddmcr,110585.00,1969.06,110766.21,184,false,false,true
LUNA-arbLUNA,single,concentrated,terra1p9lcjw8knxhtv2pyr9wa8e2ushjnjllljvsuu9cugv7trqynjzasz4x52j,94165.10,403.55,94562.59,184,false,false,true
PAXG-WBTC,single,concentrated,terra1g55qjcptzqgdyqfgzu5mj8x82955rvlxy4c37z5t6ldgz7cz033q0xr2lx,82623.30,862.06,82675.00,184,false,false,true
LUNA-INJ,bluechip,xyk,terra10m23jmgtx0lvc6v5gffdmcutlmrgy9pnf8wun4mxft2xd3dnqdvsv392j5,81296.80,6155.51,83645.94,184,false,false,true
LUNA-CAPA,project,concentrated,terra183wqgrwa2k0uvlz99j57c496gfuwgtaccrhv4stcjzv3ydacl9zq0hmf25,80738.50,80.03,81459.44,184,false,false,true
LUNA-FUEL,project,concentrated,terra10yfnsqn20rzlnlzkeva5255q27zp6ws9te9uuql9e0lacfcze7zsffjct5,67565.20,25.31,67674.85,184,false,false,true
LUNA-EURe,stable,concentrated,terra1vhxl8ggscmhae3muvwvs2vs8ppprzqf07xngcdp798fwnrcksjxszqfa8n,48785.50,3295.03,49091.89,184,false,false,true
LUNA-ROAR,project,concentrated,terra189v2ewgfx5wdhje6geefdtxefeemujplk8qw2wx3x5hdswn95l8qf4n2r0,42335.90,396.26,42970.60,184,false,false,true
LUNA-ATOM,bluechip,xyk,terra1j3d29y506cvtavdpakdzl6e0g2xcskvmmulsetcd0jfwrpr8eu9qfe0dmf,28892.50,1839.10,26160.70,184,false,false,true
LUNA-USDT,stable,concentrated,terra1aategw0787y4fyunmwdvdqraxfc8jtxykyed2skx3p5fd3lkgkmsqry7pz,24388.20,1112.44,24459.29,184,false,false,true
LUNA-bLUNA,project,stable,terra1h32epkd72x7st0wk49z35qlpsxf26pw4ydacs8acq6uka7hgshmq7z7vl9,20873.60,38.63,21404.01,184,false,false,true
LUNA-SOLID,stable,xyk,terra1e45ctmel6t5m9vdgxv3zxh3ecflkfcd6mr42sluzrqnhveqmy3fss338s7,12663.10,160.44,12701.89,184,false,false,true
LUNA-arbLUNA,single,stable,terra16nfwldn9j5xhry2y78gvm3x4vte8vu77zr3ctlan79w5f5aheawqnz7a4f,12385.00,21.82,12385.00,184,false,true,true
ATOM-dATOM,single,concentrated,terra1a0h6vrzkztjystg8sd949qyrc6mw9gzxk2870cr2mukg53uzgvqs46qul9,8154.96,4720.46,8154.96,184,false,false,true
LUNA-stLUNA,project,stable,terra1re0yj0j6e9v2szg7kp02ut6u8jjea586t6pnpq6628wl36fphtpqwt6l7p,7620.93,0.00,7619.63,184,false,false,true
LUNA-ASTRO,project,concentrated,terra1nwepezm3mghyxm7fjfhfr2d4jwqzndtncf9tclgunqfcwhe52mpq4sxaqr,1438.16,210.04,1270.47,184,false,false,true
wstETH-WETH.axl,single,xyk,terra1yga5eepqnpg77gaj59uqfkm2qtllvpq642cmx5gj5lzjf5v88wzs2srzp7,1047.99,0.00,1031.43,184,false,false,true
LUNA-WBTC.axl,bluechip,concentrated,terra1afkvgc0mxfqakqlaqpxdgy58n79x4r239q3tucxmrsqvqk7ce3ksnctxfu,916.83,11.25,918.79,184,false,false,true
LUNA-wSOL.wh,bluechip,concentrated,terra16zzqwekwsqn4zlsyu4vhjr52ee2hdvppjcr8h22qznjadaazzdgsvd905d,761.03,0.00,761.03,184,false,false,true
LUNA-SWTH,project,xyk,terra1crlsemxx6yjpeq3am9dzccln0dykusm685ecxscuyny7u596elqqj6xd9z,754.68,54.34,754.68,184,false,false,true
ATOM-stATOM,single,concentrated,terra1f9vmtntpjmkyhkxtlc49jcq6cv8rfz0kr06zv6efdtdgae4m9y9qlzm36t,662.80,0.00,662.80,184,false,false,true
LUNA-wBNB.axl,bluechip,concentrated,terra10clh64cpvjjen8f24qz2046d24s79w2ev2dyd9ke29wmqdqp4yjs3cyk0y,497.14,0.00,497.14,184,false,true,true
WBTC.axl-WBTC.osmo,single,stable,terra1mps5z5gt2c2akwcp86mq0zhw66kdugtc3selcyradtje0vp0z49sfrk8jx,414.65,9.96,414.42,184,false,false,true
SWTH-rSWTH,single,xyk,terra1rzw2egugtjhxz2x58z55kwldm96fzck8qsf9srf5v0uehf64a2asjsak68,375.19,0.00,375.19,184,false,false,true
LUNA-WBTC,bluechip,concentrated,terra1p996av7ftzj973swd4yt2er2sn3v9y5j9qfxz67gatnrpf8lfgwsel8hcg,53.95,0.00,53.69,184,false,true,true
LUNA-wstETH,bluechip,concentrated,terra1u0sp5gaw9amfa8vsaaqvvjpqqdyz4eeslzdjsgaq40afctpx7f6s6augj2,53.13,0.00,49.84,184,false,false,true
