date,time,dex,pool_name,pool_address,tvl_usd,volume_24h_usd,bucket,pool_type,is_amplified,latest_epoch_avg_liquidity,latest_epoch,deprecated,is_deregistered,fetch_ok,fees_24h_usd,fee_apr,lp_total_supply,astro_staked_usd,assets_json
2026-08-26,03:30:54,astroport,LUNA-ampLUNA,terra1cupwgntu082ypw2ztgtxfzcenexcu6ggp5zzunn3yzfwgrvdcclqgjrjqg,843970.00,29766.10,project,concentrated,false,860754.18,200,false,false,true,25.508100,0.01103174,6134920872374,91058.50,"[{""symbol"":""LUNA"",""denom"":""uluna"",""amount"":""11164656153937"",""price_usd"":0.04712745,""precision"":6},{""symbol"":""ampLUNA"",""denom"":""terra1ecgazyd0waaj3g7l9cmy5gulhxkps2gmxu9ghducvuypjq68mq2s5lvsct"",""amount"":""3004043775483"",""price_usd"":0.10530351060514079,""precision"":6}]"
2026-08-26,03:30:54,astroport,LUNA-USDC,terra1v3lqxl0eyte9x3nhdgcj8hwvjq76aupnnzz0yll8mxs5cckc29pqvg2scu,350806.00,70892.70,stable,concentrated,false,362432.78,200,false,false,true,38.508600,0.04006670,749406841112,273547.00,"[{""symbol"":""LUNA"",""denom"":""uluna"",""amount"":""3758644749931"",""price_usd"":0.04712745,""precision"":6},{""symbol"":""USDC"",""denom"":""ibc/2C962DAB9F57FE0921435426AE75196009FAA1981BF86991203C8411F8980FDB"",""amount"":""173669786794"",""price_usd"":0.999891,""precision"":6}]"
2026-08-26,03:30:54,astroport,USDC-EURe,terra1ys7edvw89krf47n4zsz4c4m9das7ppltjtfv2epw85thqpvl6hhqn55m6y,305436.00,11238.40,bluechip,concentrated,false,299078.39,200,false,false,true,15.910000,0.01901266,138892442591,269737.00,"[{""symbol"":""USDC"",""denom"":""ibc/2C962DAB9F57FE0921435426AE75196009FAA1981BF86991203C8411F8980FDB"",""amount"":""153631083567"",""price_usd"":0.999891,""precision"":6},{""symbol"":""EURe"",""denom"":""ibc/8D52B251B447B7160421ACFBD50F6B0ABE5F98D2C404B03701130F12044439A1"",""amount"":""129758596565"",""price_usd"":1.17,""precision"":6}]"
2026-08-26,03:30:54,astroport,LUNA-EURe,terra1vhxl8ggscmhae3muvwvs2vs8ppprzqf07xngcdp798fwnrcksjxszqfa8n,192478.00,7252.06,stable,concentrated,false,192839.44,200,false,false,true,4.223140,0.00800843,402414427280,182333.00,"[{""symbol"":""LUNA"",""denom"":""uluna"",""amount"":""2060741064903"",""price_usd"":0.04712745,""precision"":6},{""symbol"":""EURe"",""denom"":""ibc/8D52B251B447B7160421ACFBD50F6B0ABE5F98D2C404B03701130F12044439A1"",""amount"":""81324086087"",""price_usd"":1.17,""precision"":6}]"
2026-08-26,03:30:54,astroport,USDC-USDT,terra1dnssvse0fqw4d4gqc8kvchfud5r6e8cr7w9cdpervhl2pgr2eecquujpg6,191050.00,1174.35,bluechip,stable,false,190980.49,200,false,false,true,0.293607,0.00056093,95161237019,140687.00,"[{""symbol"":""USDC"",""denom"":""ibc/2C962DAB9F57FE0921435426AE75196009FAA1981BF86991203C8411F8980FDB"",""amount"":""84619264704"",""price_usd"":0.999891,""precision"":6},{""symbol"":""USDT"",""denom"":""ibc/9B19062D46CAB50361CE9B0A3E6D0A7A53AC9E7CB361F32A73CC733144A9A9E5"",""amount"":""106447844596"",""price_usd"":0.999858,""precision"":6}]"
2026-08-26,03:30:54,astroport,PAXG-WBTC,terra1g55qjcptzqgdyqfgzu5mj8x82955rvlxy4c37z5t6ldgz7cz033q0xr2lx,158376.00,588.08,single,concentrated,false,158700.83,200,false,false,true,0.561756,0.00129465,4126569,61179.70,"[{""symbol"":""PAXG"",""denom"":""ibc/0EF5630576C66968EF0787868CF09FD866FAD131BC148D24A148358A85F0EB62"",""amount"":""17206753351068365000"",""price_usd"":4640.93,""precision"":18},{""symbol"":""WBTC"",""denom"":""ibc/88386AC48152D48B34B082648DF836F975506F0B57DBBFC10A54213B1BF484CB"",""amount"":""99136590"",""price_usd"":78973,""precision"":8}]"
2026-08-26,03:30:54,astroport,LUNA-WBTC,terra1mea829xtsnxwv4l9lhzs0tzpnyamjpz5y45a9tpp06jgdhjd48yqc4ales,113315.00,2143.27,bluechip,concentrated,false,113673.96,200,false,false,true,2.099960,0.00676420,919748697,105374.00,"[{""symbol"":""LUNA"",""denom"":""uluna"",""amount"":""1208689017939"",""price_usd"":0.04712745,""precision"":6},{""symbol"":""WBTC"",""denom"":""ibc/88386AC48152D48B34B082648DF836F975506F0B57DBBFC10A54213B1BF484CB"",""amount"":""71148925"",""price_usd"":78973,""precision"":8}]"
2026-08-26,03:30:54,astroport,USDC-SOLID,terra1fwjxdjpl98shj20l4swlen9hyu4lhvekrvqkqn393lzzghmsn2wqjdnvpu,85335.00,448.07,project,xyk,false,84339.53,200,false,false,true,0.896939,0.00383644,37490444475,70794.90,"[{""symbol"":""USDC"",""denom"":""ibc/2C962DAB9F57FE0921435426AE75196009FAA1981BF86991203C8411F8980FDB"",""amount"":""42637941852"",""price_usd"":0.999891,""precision"":6},{""symbol"":""SOLID"",""denom"":""terra10aa3zdkrc7jwuf8ekl3zq7e7m42vmzqehcmu74e4egc7xkm5kr2s0muyst"",""amount"":""42800400829"",""price_usd"":0.9971736986774349,""precision"":6}]"
2026-08-26,03:30:54,astroport,LUNA-CAPA,terra183wqgrwa2k0uvlz99j57c496gfuwgtaccrhv4stcjzv3ydacl9zq0hmf25,62691.30,61.22,project,concentrated,false,64841.82,200,false,false,true,0.061078,0.00035561,3973138425325,57583.10,"[{""symbol"":""CAPA"",""denom"":""terra1t4p3u8khpd7f8qzurwyafxt648dya6mp6vur3vaapswt6m24gkuqrfdhar"",""amount"":""24368778470689"",""price_usd"":0.001278257164952099,""precision"":6},{""symbol"":""LUNA"",""denom"":""uluna"",""amount"":""666398632702"",""price_usd"":0.04712745,""precision"":6}]"
2026-08-26,03:30:54,astroport,LUNA-FUEL,terra10yfnsqn20rzlnlzkeva5255q27zp6ws9te9uuql9e0lacfcze7zsffjct5,44196.90,6.93,project,concentrated,false,44641.93,200,false,false,true,0.002780,0.00002296,1937978032711,34074.90,"[{""symbol"":""FUEL"",""denom"":""ibc/4B44179AC2F0BEE50C16A673B3B886398988692885B2848A1C8AEF27148B3961"",""amount"":""8102542027700"",""price_usd"":0.002739751007342422,""precision"":6},{""symbol"":""LUNA"",""denom"":""uluna"",""amount"":""464741127487"",""price_usd"":0.04712745,""precision"":6}]"
2026-08-26,03:30:54,astroport,LUNA-INJ,terra10m23jmgtx0lvc6v5gffdmcutlmrgy9pnf8wun4mxft2xd3dnqdvsv392j5,42487.70,2345.21,bluechip,xyk,false,35016.30,200,false,false,true,4.704130,0.04041187,39336695488412850,39824.50,"[{""symbol"":""LUNA"",""denom"":""uluna"",""amount"":""450554750665"",""price_usd"":0.04712745,""precision"":6},{""symbol"":""INJ"",""denom"":""ibc/25BC59386BB65725F735EFC0C369BB717AA8B5DAD846EAF9CBF5D0F18F207211"",""amount"":""3.780369227626568e+21"",""price_usd"":5.58,""precision"":18}]"
2026-08-26,03:30:54,astroport,LUNA-ATOM,terra1j3d29y506cvtavdpakdzl6e0g2xcskvmmulsetcd0jfwrpr8eu9qfe0dmf,36720.30,881.52,bluechip,xyk,false,37325.98,200,false,false,true,1.770130,0.01759510,59263994006,32209.70,"[{""symbol"":""ATOM"",""denom"":""ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2"",""amount"":""11941355530"",""price_usd"":1.53,""precision"":6},{""symbol"":""LUNA"",""denom"":""uluna"",""amount"":""390640601737"",""price_usd"":0.04712745,""precision"":6}]"
