period,period_start,period_end,snapshots_used,snapshots_expected,has_gaps,dex,pool_name,pool_address,bucket,avg_tvl_usd,total_volume_usd,snapshot_count
6-day-avg,2026-08-23,2026-08-28,6,6,false,astroport,LUNA-ampLUNA,terra1cupwgntu082ypw2ztgtxfzcenexcu6ggp5zzunn3yzfwgrvdcclqgjrjqg,project,845116.50,140394.00,6
6-day-avg,2026-08-23,2026-08-28,6,6,false,astroport,LUNA-USDC,terra1v3lqxl0eyte9x3nhdgcj8hwvjq76aupnnzz0yll8mxs5cckc29pqvg2scu,stable,356037.17,389171.40,6
6-day-avg,2026-08-23,2026-08-28,6,6,false,astroport,USDC-EURe,terra1ys7edvw89krf47n4zsz4c4m9das7ppltjtfv2epw85thqpvl6hhqn55m6y,bluechip,301871.17,52589.97,6
6-day-avg,2026-08-23,2026-08-28,6,6,false,astroport,USDC-USDT,terra1dnssvse0fqw4d4gqc8kvchfud5r6e8cr7w9cdpervhl2pgr2eecquujpg6,bluechip,191140.17,13906.76,6
6-day-avg,2026-08-23,2026-08-28,6,6,false,astroport,LUNA-EURe,terra1vhxl8ggscmhae3muvwvs2vs8ppprzqf07xngcdp798fwnrcksjxszqfa8n,stable,191250.33,35189.09,6
6-day-avg,2026-08-23,2026-08-28,6,6,false,astroport,PAXG-WBTC,terra1g55qjcptzqgdyqfgzu5mj8x82955rvlxy4c37z5t6ldgz7cz033q0xr2lx,single,157743.83,3511.07,6
6-day-avg,2026-08-23,2026-08-28,6,6,false,astroport,LUNA-WBTC,terra1mea829xtsnxwv4l9lhzs0tzpnyamjpz5y45a9tpp06jgdhjd48yqc4ales,bluechip,56306.60,15040.56,12
6-day-avg,2026-08-23,2026-08-28,6,6,false,astroport,USDC-SOLID,terra1fwjxdjpl98shj20l4swlen9hyu4lhvekrvqkqn393lzzghmsn2wqjdnvpu,project,84714.78,3272.53,6
6-day-avg,2026-08-23,2026-08-28,6,6,false,astroport,LUNA-CAPA,terra183wqgrwa2k0uvlz99j57c496gfuwgtaccrhv4stcjzv3ydacl9zq0hmf25,project,63401.78,2025.56,6
6-day-avg,2026-08-23,2026-08-28,6,6,false,astroport,LUNA-FUEL,terra10yfnsqn20rzlnlzkeva5255q27zp6ws9te9uuql9e0lacfcze7zsffjct5,project,43850.28,707.57,6
6-day-avg,2026-08-23,2026-08-28,6,6,false,astroport,LUNA-ATOM,terra1j3d29y506cvtavdpakdzl6e0g2xcskvmmulsetcd0jfwrpr8eu9qfe0dmf,bluechip,36881.05,5383.06,6
6-day-avg,2026-08-23,2026-08-28,6,6,false,astroport,LUNA-PAXG,terra1xgdyzzhs2v2ne3us2kyj5ry47fwc7uk44k035dyyygq42xechwwqlddmcr,bluechip,34682.43,3613.91,6
6-day-avg,2026-08-23,2026-08-28,6,6,false,astroport,LUNA-ROAR,terra189v2ewgfx5wdhje6geefdtxefeemujplk8qw2wx3x5hdswn95l8qf4n2r0,project,31515.82,176.71,6
6-day-avg,2026-08-23,2026-08-28,6,6,false,astroport,LUNA-INJ,terra10m23jmgtx0lvc6v5gffdmcutlmrgy9pnf8wun4mxft2xd3dnqdvsv392j5,bluechip,38215.90,12205.48,6
6-day-avg,2026-08-23,2026-08-28,6,6,false,astroport,LUNA-SOLID,terra1e45ctmel6t5m9vdgxv3zxh3ecflkfcd6mr42sluzrqnhveqmy3fss338s7,stable,23344.87,2602.05,6
6-day-avg,2026-08-23,2026-08-28,6,6,false,astroport,LUNA-arbLUNA,terra1p9lcjw8knxhtv2pyr9wa8e2ushjnjllljvsuu9cugv7trqynjzasz4x52j,single,12846.64,1016.39,12
6-day-avg,2026-08-23,2026-08-28,6,6,false,astroport,LUNA-USDT,terra1aategw0787y4fyunmwdvdqraxfc8jtxykyed2skx3p5fd3lkgkmsqry7pz,stable,12519.40,2932.63,6
6-day-avg,2026-08-23,2026-08-28,6,6,false,astroport,LUNA-ASTRO,terra1nwepezm3mghyxm7fjfhfr2d4jwqzndtncf9tclgunqfcwhe52mpq4sxaqr,project,11843.38,3931.58,6
6-day-avg,2026-08-23,2026-08-28,6,6,false,astroport,ATOM-dATOM,terra1a0h6vrzkztjystg8sd949qyrc6mw9gzxk2870cr2mukg53uzgvqs46qul9,single,6571.28,972.03,6
6-day-avg,2026-08-23,2026-08-28,6,6,false,astroport,LUNA-bLUNA,terra1h32epkd72x7st0wk49z35qlpsxf26pw4ydacs8acq6uka7hgshmq7z7vl9,project,5266.50,0.29,6
6-day-avg,2026-08-23,2026-08-28,6,6,false,astroport,LUNA-stLUNA,terra1re0yj0j6e9v2szg7kp02ut6u8jjea586t6pnpq6628wl36fphtpqwt6l7p,project,4719.51,20.45,6
6-day-avg,2026-08-23,2026-08-28,6,6,false,astroport,wstETH-WETH.axl,terra1yga5eepqnpg77gaj59uqfkm2qtllvpq642cmx5gj5lzjf5v88wzs2srzp7,single,1056.34,42.88,6
6-day-avg,2026-08-23,2026-08-28,6,6,false,astroport,ATOM-stATOM,terra1f9vmtntpjmkyhkxtlc49jcq6cv8rfz0kr06zv6efdtdgae4m9y9qlzm36t,single,489.85,0.75,6
6-day-avg,2026-08-23,2026-08-28,6,6,false,astroport,LUNA-WBTC.axl,terra1afkvgc0mxfqakqlaqpxdgy58n79x4r239q3tucxmrsqvqk7ce3ksnctxfu,bluechip,499.98,68.84,6
6-day-avg,2026-08-23,2026-08-28,6,6,false,astroport,LUNA-SWTH,terra1crlsemxx6yjpeq3am9dzccln0dykusm685ecxscuyny7u596elqqj6xd9z,project,450.33,13.04,6
6-day-avg,2026-08-23,2026-08-28,6,6,false,astroport,LUNA-wBNB.axl,terra10clh64cpvjjen8f24qz2046d24s79w2ev2dyd9ke29wmqdqp4yjs3cyk0y,bluechip,418.35,0.00,6
6-day-avg,2026-08-23,2026-08-28,6,6,false,astroport,WBTC.axl-WBTC.osmo,terra1mps5z5gt2c2akwcp86mq0zhw66kdugtc3selcyradtje0vp0z49sfrk8jx,single,352.01,25.05,6
6-day-avg,2026-08-23,2026-08-28,6,6,false,astroport,SWTH-rSWTH,terra1rzw2egugtjhxz2x58z55kwldm96fzck8qsf9srf5v0uehf64a2asjsak68,single,196.90,0.00,6
6-day-avg,2026-08-23,2026-08-28,6,6,false,astroport,LUNA-wSOL.wh,terra16zzqwekwsqn4zlsyu4vhjr52ee2hdvppjcr8h22qznjadaazzdgsvd905d,bluechip,93.52,0.01,6
6-day-avg,2026-08-23,2026-08-28,6,6,false,astroport,LUNA-wstETH,terra1u0sp5gaw9amfa8vsaaqvvjpqqdyz4eeslzdjsgaq40afctpx7f6s6augj2,bluechip,45.65,4.44,6
6-day-avg,2026-08-23,2026-08-28,6,6,false,astroport,LUNA-wBNB.wh,terra1v3xmc8nn8h8e7z55d80a72g4rgz6mrxyasxq089k8n6m40xldlksf2w5x8,bluechip,28.04,0.00,6
6-day-avg,2026-08-23,2026-08-28,6,6,false,astroport,WHALE-ampWHALE,terra129hvq9mgqtye4kg0cfmv9z6sq5f7sgpmrspr72968xx20gx4t2rqvpue0z,single,5.63,0.00,6
6-day-avg,2026-08-23,2026-08-28,6,6,false,astroport,WHALE-bWHALE,terra18hhsyrjac6hud4tc9q05s8em35utm6jndswhw5v56lh5ld37ml6secl2rd,single,6.12,0.00,6
6-day-avg,2026-08-23,2026-08-28,6,6,false,astroport,LUNA-WHALE,terra1a6d0lcvfzyllulaaazzg5j70yn4m3e2t90shtlxsr3fwhcg34g2sgwfr75,project,3.49,0.00,6
