date,time,dex,pool_name,pool_address,tvl_usd,volume_24h_usd,bucket,pool_type,is_amplified,latest_epoch_avg_liquidity,latest_epoch,deprecated,is_deregistered,fetch_ok,fees_24h_usd,fee_apr,lp_total_supply,astro_staked_usd,assets_json
2026-08-27,06:31:21,astroport,LUNA-ampLUNA,terra1cupwgntu082ypw2ztgtxfzcenexcu6ggp5zzunn3yzfwgrvdcclqgjrjqg,834807.00,13637.30,project,concentrated,false,846905.06,200,false,false,true,11.707000,0.00511861,6148791144658,91721.10,"[{""symbol"":""LUNA"",""denom"":""uluna"",""amount"":""11188610138655"",""price_usd"":0.04656892,""precision"":6},{""symbol"":""ampLUNA"",""denom"":""terra1ecgazyd0waaj3g7l9cmy5gulhxkps2gmxu9ghducvuypjq68mq2s5lvsct"",""amount"":""3011539450350"",""price_usd"":0.10418764315748359,""precision"":6}]"
2026-08-27,06:31:21,astroport,LUNA-USDC,terra1v3lqxl0eyte9x3nhdgcj8hwvjq76aupnnzz0yll8mxs5cckc29pqvg2scu,348630.00,29978.70,stable,concentrated,false,356241.96,200,false,false,true,22.487100,0.02354299,749230169768,271746.00,"[{""symbol"":""LUNA"",""denom"":""uluna"",""amount"":""3782659995089"",""price_usd"":0.04656892,""precision"":6},{""symbol"":""USDC"",""denom"":""ibc/2C962DAB9F57FE0921435426AE75196009FAA1981BF86991203C8411F8980FDB"",""amount"":""172490322635"",""price_usd"":0.999913,""precision"":6}]"
2026-08-27,06:31:21,astroport,USDC-EURe,terra1ys7edvw89krf47n4zsz4c4m9das7ppltjtfv2epw85thqpvl6hhqn55m6y,306050.00,3783.97,bluechip,concentrated,false,302563.41,200,false,false,true,5.144400,0.00613529,139168689968,270264.00,"[{""symbol"":""USDC"",""denom"":""ibc/2C962DAB9F57FE0921435426AE75196009FAA1981BF86991203C8411F8980FDB"",""amount"":""152622190443"",""price_usd"":0.999913,""precision"":6},{""symbol"":""EURe"",""denom"":""ibc/8D52B251B447B7160421ACFBD50F6B0ABE5F98D2C404B03701130F12044439A1"",""amount"":""131146350185"",""price_usd"":1.17,""precision"":6}]"
2026-08-27,06:31:21,astroport,LUNA-EURe,terra1vhxl8ggscmhae3muvwvs2vs8ppprzqf07xngcdp798fwnrcksjxszqfa8n,191484.00,2965.51,stable,concentrated,false,192427.74,200,false,false,true,2.622500,0.00499892,403187050010,181353.00,"[{""symbol"":""LUNA"",""denom"":""uluna"",""amount"":""2071629486260"",""price_usd"":0.04656892,""precision"":6},{""symbol"":""EURe"",""denom"":""ibc/8D52B251B447B7160421ACFBD50F6B0ABE5F98D2C404B03701130F12044439A1"",""amount"":""81205283986"",""price_usd"":1.17,""precision"":6}]"
2026-08-27,06:31:21,astroport,USDC-USDT,terra1dnssvse0fqw4d4gqc8kvchfud5r6e8cr7w9cdpervhl2pgr2eecquujpg6,191221.00,3155.85,bluechip,stable,false,191040.81,200,false,false,true,0.790379,0.00150866,95251073755,140816.00,"[{""symbol"":""USDC"",""denom"":""ibc/2C962DAB9F57FE0921435426AE75196009FAA1981BF86991203C8411F8980FDB"",""amount"":""87650384197"",""price_usd"":0.999913,""precision"":6},{""symbol"":""USDT"",""denom"":""ibc/9B19062D46CAB50361CE9B0A3E6D0A7A53AC9E7CB361F32A73CC733144A9A9E5"",""amount"":""103592007223"",""price_usd"":0.999867,""precision"":6}]"
2026-08-27,06:31:21,astroport,PAXG-WBTC,terra1g55qjcptzqgdyqfgzu5mj8x82955rvlxy4c37z5t6ldgz7cz033q0xr2lx,157376.00,518.95,single,concentrated,false,157643.29,200,false,false,true,0.489223,0.00113465,4132941,60923.40,"[{""symbol"":""PAXG"",""denom"":""ibc/0EF5630576C66968EF0787868CF09FD866FAD131BC148D24A148358A85F0EB62"",""amount"":""17224810861146814000"",""price_usd"":4603.04,""precision"":18},{""symbol"":""WBTC"",""denom"":""ibc/88386AC48152D48B34B082648DF836F975506F0B57DBBFC10A54213B1BF484CB"",""amount"":""99340657"",""price_usd"":78608,""precision"":8}]"
2026-08-27,06:31:21,astroport,LUNA-WBTC,terra1mea829xtsnxwv4l9lhzs0tzpnyamjpz5y45a9tpp06jgdhjd48yqc4ales,112308.00,1741.24,bluechip,concentrated,false,113783.36,200,false,false,true,1.717520,0.00558192,920489431,104411.00,"[{""symbol"":""LUNA"",""denom"":""uluna"",""amount"":""1214925844280"",""price_usd"":0.04656892,""precision"":6},{""symbol"":""WBTC"",""denom"":""ibc/88386AC48152D48B34B082648DF836F975506F0B57DBBFC10A54213B1BF484CB"",""amount"":""70896005"",""price_usd"":78608,""precision"":8}]"
2026-08-27,06:31:21,astroport,USDC-SOLID,terra1fwjxdjpl98shj20l4swlen9hyu4lhvekrvqkqn393lzzghmsn2wqjdnvpu,84821.10,529.36,project,xyk,false,85017.55,200,false,false,true,1.058610,0.00455538,37395010745,70309.10,"[{""symbol"":""USDC"",""denom"":""ibc/2C962DAB9F57FE0921435426AE75196009FAA1981BF86991203C8411F8980FDB"",""amount"":""42445608544"",""price_usd"":0.999913,""precision"":6},{""symbol"":""SOLID"",""denom"":""terra10aa3zdkrc7jwuf8ekl3zq7e7m42vmzqehcmu74e4egc7xkm5kr2s0muyst"",""amount"":""42776882861"",""price_usd"":0.9907030093365062,""precision"":6}]"
2026-08-27,06:31:21,astroport,LUNA-CAPA,terra183wqgrwa2k0uvlz99j57c496gfuwgtaccrhv4stcjzv3ydacl9zq0hmf25,62033.10,178.05,project,concentrated,false,63274.86,200,false,false,true,0.177273,0.00104307,3975494603516,56963.30,"[{""symbol"":""CAPA"",""denom"":""terra1t4p3u8khpd7f8qzurwyafxt648dya6mp6vur3vaapswt6m24gkuqrfdhar"",""amount"":""24403310171905"",""price_usd"":0.001270579433534699,""precision"":6},{""symbol"":""LUNA"",""denom"":""uluna"",""amount"":""666254384673"",""price_usd"":0.04656892,""precision"":6}]"
2026-08-27,06:31:21,astroport,LUNA-FUEL,terra10yfnsqn20rzlnlzkeva5255q27zp6ws9te9uuql9e0lacfcze7zsffjct5,43601.50,113.79,project,concentrated,false,43981.19,200,false,false,true,0.060067,0.00050284,1939067158673,33610.70,"[{""symbol"":""FUEL"",""denom"":""ibc/4B44179AC2F0BEE50C16A673B3B886398988692885B2848A1C8AEF27148B3961"",""amount"":""8144409549406"",""price_usd"":0.002707080172042952,""precision"":6},{""symbol"":""LUNA"",""denom"":""uluna"",""amount"":""462839558786"",""price_usd"":0.04656892,""precision"":6}]"
2026-08-27,06:31:21,astroport,LUNA-INJ,terra10m23jmgtx0lvc6v5gffdmcutlmrgy9pnf8wun4mxft2xd3dnqdvsv392j5,41191.80,1080.29,bluechip,xyk,false,38419.12,200,false,false,true,2.168730,0.01921709,39399641367204376,38601.60,"[{""symbol"":""LUNA"",""denom"":""uluna"",""amount"":""444954838837"",""price_usd"":0.04656892,""precision"":6},{""symbol"":""INJ"",""denom"":""ibc/25BC59386BB65725F735EFC0C369BB717AA8B5DAD846EAF9CBF5D0F18F207211"",""amount"":""3.84066600640372e+21"",""price_usd"":5.33,""precision"":18}]"
2026-08-27,06:31:21,astroport,LUNA-ATOM,terra1j3d29y506cvtavdpakdzl6e0g2xcskvmmulsetcd0jfwrpr8eu9qfe0dmf,36209.80,1042.45,bluechip,xyk,false,36888.93,200,false,false,true,2.098550,0.02115369,59633721412,31779.40,"[{""symbol"":""ATOM"",""denom"":""ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2"",""amount"":""12173860537"",""price_usd"":1.49,""precision"":6},{""symbol"":""LUNA"",""denom"":""uluna"",""amount"":""388043622062"",""price_usd"":0.04656892,""precision"":6}]"
2026-08-27,06:31:21,astroport,LUNA-PAXG,terra1xgdyzzhs2v2ne3us2kyj5ry47fwc7uk44k035dyyygq42xechwwqlddmcr,34638.90,579.13,bluechip,concentrated,false,35341.05,200,false,false,true,0.557493,0.00587446,1177820390,31906.00,"[{""symbol"":""LUNA"",""denom"":""uluna"",""amount"":""375489897739"",""price_usd"":0.04656892,""precision"":6},{""symbol"":""PAXG"",""denom"":""ibc/0EF5630576C66968EF0787868CF09FD866FAD131BC148D24A148358A85F0EB62"",""amount"":""3726399925364942300"",""price_usd"":4603.04,""precision"":18}]"
2026-08-27,06:31:21,astroport,LUNA-ROAR,terra189v2ewgfx5wdhje6geefdtxefeemujplk8qw2wx3x5hdswn95l8qf4n2r0,31059.90,9.13,project,concentrated,false,31532.56,200,false,false,true,0.008962,0.00010532,157428171674209,26866.20,"[{""symbol"":""ROAR"",""denom"":""terra1lxx40s29qvkrcj8fsa3yzyehy7w50umdvvnls2r830rys6lu2zns63eelv"",""amount"":""77629434372698060"",""price_usd"":1.97951645998e-7,""precision"":6},{""symbol"":""LUNA"",""denom"":""uluna"",""amount"":""336984846767"",""price_usd"":0.04656892,""precision"":6}]"
