pool,bucket,pool_type,pool_address,astroport_tvl_usd,astroport_day_volume_usd,latest_epoch_avg_liquidity,latest_epoch,deprecated,is_deregistered,fetch_ok
LUNA-ampLUNA,project,concentrated,terra1cupwgntu082ypw2ztgtxfzcenexcu6ggp5zzunn3yzfwgrvdcclqgjrjqg,1174950.00,31167.70,1217160.49,184,false,false,true
LUNA-USDC,stable,concentrated,terra1v3lqxl0eyte9x3nhdgcj8hwvjq76aupnnzz0yll8mxs5cckc29pqvg2scu,708646.00,105656.00,722601.90,184,false,false,true
USDC-EURe,bluechip,concentrated,terra1ys7edvw89krf47n4zsz4c4m9das7ppltjtfv2epw85thqpvl6hhqn55m6y,315146.00,5815.60,315254.84,184,false,false,true
USDC-USDT,bluechip,stable,terra1dnssvse0fqw4d4gqc8kvchfud5r6e8cr7w9cdpervhl2pgr2eecquujpg6,311683.00,1152.52,311569.54,184,false,false,true
LUNA-WBTC,bluechip,concentrated,terra1mea829xtsnxwv4l9lhzs0tzpnyamjpz5y45a9tpp06jgdhjd48yqc4ales,130150.00,2758.27,133808.65,184,false,false,true
USDC-SOLID,project,xyk,terra1fwjxdjpl98shj20l4swlen9hyu4lhvekrvqkqn393lzzghmsn2wqjdnvpu,117928.00,752.80,118547.06,184,false,false,true
LUNA-PAXG,bluechip,concentrated,terra1xgdyzzhs2v2ne3us2kyj5ry47fwc7uk44k035dyyygq42xechwwqlddmcr,108580.00,1936.08,110270.45,184,false,false,true
LUNA-arbLUNA,single,concentrated,terra1p9lcjw8knxhtv2pyr9wa8e2ushjnjllljvsuu9cugv7trqynjzasz4x52j,105187.00,748.18,95028.78,184,false,false,true
PAXG-WBTC,single,concentrated,terra1g55qjcptzqgdyqfgzu5mj8x82955rvlxy4c37z5t6ldgz7cz033q0xr2lx,81849.40,610.60,82544.45,184,false,false,true
LUNA-CAPA,project,concentrated,terra183wqgrwa2k0uvlz99j57c496gfuwgtaccrhv4stcjzv3ydacl9zq0hmf25,77308.10,61.04,80953.83,184,false,false,true
LUNA-FUEL,project,concentrated,terra10yfnsqn20rzlnlzkeva5255q27zp6ws9te9uuql9e0lacfcze7zsffjct5,64575.90,0.00,67179.54,184,false,false,true
LUNA-INJ,bluechip,xyk,terra10m23jmgtx0lvc6v5gffdmcutlmrgy9pnf8wun4mxft2xd3dnqdvsv392j5,49562.70,10913.90,76967.25,184,false,false,true
LUNA-EURe,stable,concentrated,terra1vhxl8ggscmhae3muvwvs2vs8ppprzqf07xngcdp798fwnrcksjxszqfa8n,47721.00,2392.77,48766.40,184,false,false,true
LUNA-ROAR,project,concentrated,terra189v2ewgfx5wdhje6geefdtxefeemujplk8qw2wx3x5hdswn95l8qf4n2r0,41222.10,893.24,42408.05,184,false,false,true
LUNA-ATOM,bluechip,xyk,terra1j3d29y506cvtavdpakdzl6e0g2xcskvmmulsetcd0jfwrpr8eu9qfe0dmf,27706.20,2103.99,26114.09,184,false,false,true
LUNA-USDT,stable,concentrated,terra1aategw0787y4fyunmwdvdqraxfc8jtxykyed2skx3p5fd3lkgkmsqry7pz,23823.70,1193.44,24313.90,184,false,false,true
LUNA-bLUNA,project,stable,terra1h32epkd72x7st0wk49z35qlpsxf26pw4ydacs8acq6uka7hgshmq7z7vl9,20036.20,20.63,21342.61,184,false,false,true
LUNA-SOLID,stable,xyk,terra1e45ctmel6t5m9vdgxv3zxh3ecflkfcd6mr42sluzrqnhveqmy3fss338s7,12336.50,175.37,12617.07,184,false,false,true
LUNA-arbLUNA,single,stable,terra16nfwldn9j5xhry2y78gvm3x4vte8vu77zr3ctlan79w5f5aheawqnz7a4f,11835.80,30.97,11835.80,184,false,true,true
ATOM-dATOM,single,concentrated,terra1a0h6vrzkztjystg8sd949qyrc6mw9gzxk2870cr2mukg53uzgvqs46qul9,7928.61,6224.17,7928.61,184,false,false,true
LUNA-stLUNA,project,stable,terra1re0yj0j6e9v2szg7kp02ut6u8jjea586t6pnpq6628wl36fphtpqwt6l7p,7131.23,0.00,7523.16,184,false,false,true
LUNA-ASTRO,project,concentrated,terra1nwepezm3mghyxm7fjfhfr2d4jwqzndtncf9tclgunqfcwhe52mpq4sxaqr,1471.07,216.17,1243.51,184,false,false,true
wstETH-WETH.axl,single,xyk,terra1yga5eepqnpg77gaj59uqfkm2qtllvpq642cmx5gj5lzjf5v88wzs2srzp7,1036.56,0.00,1025.83,184,false,false,true
LUNA-WBTC.axl,bluechip,concentrated,terra1afkvgc0mxfqakqlaqpxdgy58n79x4r239q3tucxmrsqvqk7ce3ksnctxfu,895.70,6.78,914.96,184,false,false,true
LUNA-SWTH,project,xyk,terra1crlsemxx6yjpeq3am9dzccln0dykusm685ecxscuyny7u596elqqj6xd9z,743.30,57.53,743.30,184,false,false,true
LUNA-wSOL.wh,bluechip,concentrated,terra16zzqwekwsqn4zlsyu4vhjr52ee2hdvppjcr8h22qznjadaazzdgsvd905d,731.44,0.00,731.44,184,false,false,true
ATOM-stATOM,single,concentrated,terra1f9vmtntpjmkyhkxtlc49jcq6cv8rfz0kr06zv6efdtdgae4m9y9qlzm36t,637.79,0.00,637.79,184,false,false,true
LUNA-wBNB.axl,bluechip,concentrated,terra10clh64cpvjjen8f24qz2046d24s79w2ev2dyd9ke29wmqdqp4yjs3cyk0y,487.97,0.00,487.97,184,false,true,true
WBTC.axl-WBTC.osmo,single,stable,terra1mps5z5gt2c2akwcp86mq0zhw66kdugtc3selcyradtje0vp0z49sfrk8jx,412.15,7.38,413.88,184,false,false,true
SWTH-rSWTH,single,xyk,terra1rzw2egugtjhxz2x58z55kwldm96fzck8qsf9srf5v0uehf64a2asjsak68,381.42,0.00,381.42,184,false,false,true
LUNA-WBTC,bluechip,concentrated,terra1p996av7ftzj973swd4yt2er2sn3v9y5j9qfxz67gatnrpf8lfgwsel8hcg,52.32,0.00,53.31,184,false,true,true
LUNA-wstETH,bluechip,concentrated,terra1u0sp5gaw9amfa8vsaaqvvjpqqdyz4eeslzdjsgaq40afctpx7f6s6augj2,51.63,0.00,48.89,184,false,false,true
LUNA-wBNB.wh,bluechip,concentrated,terra1v3xmc8nn8h8e7z55d80a72g4rgz6mrxyasxq089k8n6m40xldlksf2w5x8,30.42,0.00,30.42,184,false,false,true
WHALE-bWHALE,single,xyk,terra18hhsyrjac6hud4tc9q05s8em35utm6jndswhw5v56lh5ld37ml6secl2rd,5.81,0.00,5.81,184,false,false,true
WHALE-ampWHALE,single,xyk,terra129hvq9mgqtye4kg0cfmv9z6sq5f7sgpmrspr72968xx20gx4t2rqvpue0z,5.45,0.00,5.45,184,false,false,true
LUNA-WHALE,project,concentrated,terra1a6d0lcvfzyllulaaazzg5j70yn4m3e2t90shtlxsr3fwhcg34g2sgwfr75,4.00,0.00,4.00,184,false,false,true
