date,time,dex,pool_name,pool_address,tvl_usd,volume_24h_usd,bucket,pool_type,is_amplified,latest_epoch_avg_liquidity,latest_epoch,deprecated,is_deregistered,fetch_ok,fees_24h_usd,fee_apr,lp_total_supply,astro_staked_usd,assets_json
2026-06-30,23:50:29,astroport,LUNA-ampLUNA,terra1cupwgntu082ypw2ztgtxfzcenexcu6ggp5zzunn3yzfwgrvdcclqgjrjqg,828991.00,15246.00,project,concentrated,false,849813.48,192,false,false,true,12.705000,0.00559394,6243844659311,103918.00,"[{""symbol"":""LUNA"",""denom"":""uluna"",""amount"":""11275951460815"",""price_usd"":0.04590158,""precision"":6},{""symbol"":""ampLUNA"",""denom"":""terra1ecgazyd0waaj3g7l9cmy5gulhxkps2gmxu9ghducvuypjq68mq2s5lvsct"",""amount"":""3083819640717"",""price_usd"":0.10094074603986437,""precision"":6}]"
2026-06-30,23:50:29,astroport,LUNA-USDC,terra1v3lqxl0eyte9x3nhdgcj8hwvjq76aupnnzz0yll8mxs5cckc29pqvg2scu,375411.00,14084.60,stable,concentrated,false,380692.00,192,false,false,true,12.844200,0.01248800,814993042157,303761.00,"[{""symbol"":""LUNA"",""denom"":""uluna"",""amount"":""4114234194979"",""price_usd"":0.04590158,""precision"":6},{""symbol"":""USDC"",""denom"":""ibc/2C962DAB9F57FE0921435426AE75196009FAA1981BF86991203C8411F8980FDB"",""amount"":""186617010734"",""price_usd"":0.999693,""precision"":6}]"
2026-06-30,23:50:29,astroport,USDC-EURe,terra1ys7edvw89krf47n4zsz4c4m9das7ppltjtfv2epw85thqpvl6hhqn55m6y,273832.00,2526.03,bluechip,concentrated,false,273697.01,192,false,false,true,3.555590,0.00473937,126309517186,242478.00,"[{""symbol"":""USDC"",""denom"":""ibc/2C962DAB9F57FE0921435426AE75196009FAA1981BF86991203C8411F8980FDB"",""amount"":""137191519817"",""price_usd"":0.999693,""precision"":6},{""symbol"":""EURe"",""denom"":""ibc/8D52B251B447B7160421ACFBD50F6B0ABE5F98D2C404B03701130F12044439A1"",""amount"":""119905112277"",""price_usd"":1.14,""precision"":6}]"
2026-06-30,23:50:29,astroport,USDC-USDT,terra1dnssvse0fqw4d4gqc8kvchfud5r6e8cr7w9cdpervhl2pgr2eecquujpg6,247298.00,150.79,bluechip,stable,false,247246.88,192,false,false,true,0.037699,0.00005564,123331963913,199508.00,"[{""symbol"":""USDC"",""denom"":""ibc/2C962DAB9F57FE0921435426AE75196009FAA1981BF86991203C8411F8980FDB"",""amount"":""111928572687"",""price_usd"":0.999693,""precision"":6},{""symbol"":""USDT"",""denom"":""ibc/9B19062D46CAB50361CE9B0A3E6D0A7A53AC9E7CB361F32A73CC733144A9A9E5"",""amount"":""135608832769"",""price_usd"":0.998513,""precision"":6}]"
2026-06-30,23:50:29,astroport,LUNA-EURe,terra1vhxl8ggscmhae3muvwvs2vs8ppprzqf07xngcdp798fwnrcksjxszqfa8n,163526.00,2094.23,stable,concentrated,false,165896.16,192,false,false,true,2.060640,0.00459947,351854247950,156557.00,"[{""symbol"":""LUNA"",""denom"":""uluna"",""amount"":""1784544569919"",""price_usd"":0.04590158,""precision"":6},{""symbol"":""EURe"",""denom"":""ibc/8D52B251B447B7160421ACFBD50F6B0ABE5F98D2C404B03701130F12044439A1"",""amount"":""71655218405"",""price_usd"":1.14,""precision"":6}]"
2026-06-30,23:50:29,astroport,PAXG-WBTC,terra1g55qjcptzqgdyqfgzu5mj8x82955rvlxy4c37z5t6ldgz7cz033q0xr2lx,159235.00,234.84,single,concentrated,false,160283.37,192,false,false,true,0.223751,0.00051288,5200216,82574.10,"[{""symbol"":""PAXG"",""denom"":""ibc/0EF5630576C66968EF0787868CF09FD866FAD131BC148D24A148358A85F0EB62"",""amount"":""19768248782437390000"",""price_usd"":4000.5,""precision"":18},{""symbol"":""WBTC"",""denom"":""ibc/88386AC48152D48B34B082648DF836F975506F0B57DBBFC10A54213B1BF484CB"",""amount"":""136967327"",""price_usd"":58457,""precision"":8}]"
2026-06-30,23:50:29,astroport,USDC-SOLID,terra1fwjxdjpl98shj20l4swlen9hyu4lhvekrvqkqn393lzzghmsn2wqjdnvpu,88923.00,161.72,project,xyk,false,88625.77,192,false,false,true,0.323619,0.00132835,38986678550,75521.40,"[{""symbol"":""USDC"",""denom"":""ibc/2C962DAB9F57FE0921435426AE75196009FAA1981BF86991203C8411F8980FDB"",""amount"":""44499356501"",""price_usd"":0.999693,""precision"":6},{""symbol"":""SOLID"",""denom"":""terra10aa3zdkrc7jwuf8ekl3zq7e7m42vmzqehcmu74e4egc7xkm5kr2s0muyst"",""amount"":""44283546306"",""price_usd"":1.0035465392625826,""precision"":6}]"
2026-06-30,23:50:29,astroport,LUNA-WBTC,terra1mea829xtsnxwv4l9lhzs0tzpnyamjpz5y45a9tpp06jgdhjd48yqc4ales,80634.10,894.01,bluechip,concentrated,false,82448.06,192,false,false,true,0.703727,0.00318551,772325941,75296.00,"[{""symbol"":""LUNA"",""denom"":""uluna"",""amount"":""889055150250"",""price_usd"":0.04590158,""precision"":6},{""symbol"":""WBTC"",""denom"":""ibc/88386AC48152D48B34B082648DF836F975506F0B57DBBFC10A54213B1BF484CB"",""amount"":""68181676"",""price_usd"":58457,""precision"":8}]"
2026-06-30,23:50:29,astroport,LUNA-CAPA,terra183wqgrwa2k0uvlz99j57c496gfuwgtaccrhv4stcjzv3ydacl9zq0hmf25,49407.60,52.49,project,concentrated,false,50730.28,192,false,false,true,0.052282,0.00038623,3481623116319,45552.50,"[{""symbol"":""CAPA"",""denom"":""terra1t4p3u8khpd7f8qzurwyafxt648dya6mp6vur3vaapswt6m24gkuqrfdhar"",""amount"":""23084935268120"",""price_usd"":0.001062156759145346,""precision"":6},{""symbol"":""LUNA"",""denom"":""uluna"",""amount"":""540195450654"",""price_usd"":0.04590158,""precision"":6}]"
2026-06-30,23:50:29,astroport,LUNA-INJ,terra10m23jmgtx0lvc6v5gffdmcutlmrgy9pnf8wun4mxft2xd3dnqdvsv392j5,48406.20,980.79,bluechip,xyk,false,49669.93,192,false,false,true,1.977010,0.01490736,50677407518886940,46528.70,"[{""symbol"":""LUNA"",""denom"":""uluna"",""amount"":""529130414573"",""price_usd"":0.04590158,""precision"":6},{""symbol"":""INJ"",""denom"":""ibc/25BC59386BB65725F735EFC0C369BB717AA8B5DAD846EAF9CBF5D0F18F207211"",""amount"":""5.302426628717852e+21"",""price_usd"":4.54,""precision"":18}]"
