period,period_start,period_end,snapshots_used,snapshots_expected,has_gaps,dex,pool_name,pool_address,bucket,epoch,avg_liquidity_usd,total_volume_usd,liq_points,vol_points,tier,deprecated
2026-epoch-198,2026-08-10,2026-08-16,19,36,true,astroport,LUNA-ampLUNA,terra1cupwgntu082ypw2ztgtxfzcenexcu6ggp5zzunn3yzfwgrvdcclqgjrjqg,project,198,789365.70,75150.36,10,10,bucket-direct,false
2026-epoch-198,2026-08-10,2026-08-16,19,36,true,astroport,LUNA-USDC,terra1v3lqxl0eyte9x3nhdgcj8hwvjq76aupnnzz0yll8mxs5cckc29pqvg2scu,stable,198,367103.79,107395.45,10,10,bucket-direct,false
2026-epoch-198,2026-08-10,2026-08-16,19,36,true,astroport,USDC-EURe,terra1ys7edvw89krf47n4zsz4c4m9das7ppltjtfv2epw85thqpvl6hhqn55m6y,bluechip,198,283803.11,21115.64,10,10,bucket-direct,false
2026-epoch-198,2026-08-10,2026-08-16,19,36,true,astroport,LUNA-EURe,terra1vhxl8ggscmhae3muvwvs2vs8ppprzqf07xngcdp798fwnrcksjxszqfa8n,stable,198,203456.89,12426.47,10,10,bucket-direct,false
2026-epoch-198,2026-08-10,2026-08-16,19,36,true,astroport,USDC-USDT,terra1dnssvse0fqw4d4gqc8kvchfud5r6e8cr7w9cdpervhl2pgr2eecquujpg6,bluechip,198,197850.11,15460.54,10,10,bucket-direct,false
2026-epoch-198,2026-08-10,2026-08-16,19,36,true,astroport,PAXG-WBTC,terra1g55qjcptzqgdyqfgzu5mj8x82955rvlxy4c37z5t6ldgz7cz033q0xr2lx,single,198,130808.29,1870.84,10,10,bucket-direct,false
2026-epoch-198,2026-08-10,2026-08-16,19,36,true,astroport,LUNA-WBTC,terra1mea829xtsnxwv4l9lhzs0tzpnyamjpz5y45a9tpp06jgdhjd48yqc4ales,bluechip,198,97377.68,10836.22,10,10,bucket-direct,false
2026-epoch-198,2026-08-10,2026-08-16,19,36,true,astroport,USDC-SOLID,terra1fwjxdjpl98shj20l4swlen9hyu4lhvekrvqkqn393lzzghmsn2wqjdnvpu,project,198,87770.29,1285.54,10,10,bucket-direct,false
2026-epoch-198,2026-08-10,2026-08-16,19,36,true,astroport,LUNA-CAPA,terra183wqgrwa2k0uvlz99j57c496gfuwgtaccrhv4stcjzv3ydacl9zq0hmf25,project,198,58258.59,115.00,10,10,bucket-direct,false
2026-epoch-198,2026-08-10,2026-08-16,19,36,true,astroport,LUNA-FUEL,terra10yfnsqn20rzlnlzkeva5255q27zp6ws9te9uuql9e0lacfcze7zsffjct5,project,198,45046.30,28.22,10,5,bucket-direct,false
2026-epoch-198,2026-08-10,2026-08-16,19,36,true,astroport,LUNA-ATOM,terra1j3d29y506cvtavdpakdzl6e0g2xcskvmmulsetcd0jfwrpr8eu9qfe0dmf,bluechip,198,37036.76,1895.62,10,10,bucket-direct,false
