period,period_start,period_end,snapshots_used,snapshots_expected,has_gaps,dex,pool_name,pool_address,avg_tvl_usd,total_volume_usd,avg_apr_7d,avg_reserve_0,avg_reserve_1,avg_total_share,snapshot_count
2026-epoch-191,2026-06-15,2026-06-21,7,7,false,skeletonswap,"ATOM-LUNA",terra1frfcj4xhvx0emkup4vel5jun9zun0797j5yhn7ant3r4jzy9mkxqzcwev6,6957.55,0.00,0.0000,1876282054,66348965360,7397659589,7
2026-epoch-191,2026-06-15,2026-06-21,7,7,false,skeletonswap,"ATOM-axlUSDC",terra17l9xj8f6m8smumhn8wgpgnswr3mu60wfkcm6pjc69drxp0t398rs7335vn,13.05,0.00,0.0000,3450849,6638412,3271108,7
2026-epoch-191,2026-06-15,2026-06-21,7,7,false,skeletonswap,"LUNA-ASTRO.cw20",terra1e6t37fgjkxrzdx2s95fyq6jdra5s82720vhtmxvx4yhcvnsrey4ssmrya6,10.62,0.00,0.0000,190820628,1344586765,440091012,7
2026-epoch-191,2026-06-15,2026-06-21,7,7,false,skeletonswap,"LUNA-axlUSDC",terra1ck8nkz35sa8mmqez3lqrm77vh36n2gd2f0dxjde4uemkwsjt22pqgk49zj,131.83,0.00,0.0000,1253690871,66033277,91975901,7
2026-epoch-191,2026-06-15,2026-06-21,7,7,false,skeletonswap,"bLUNA-LUNA",terra1j5znhs9jeyty9u9jcagl3vefkvzwqp6u9tq9a3e5qrz4gmj2udyqp0z0xc,222744.87,0.00,0.0000,1210684467320,2100273847914,1433401080217,7
2026-epoch-191,2026-06-15,2026-06-21,7,7,false,skeletonswap,"ampLUNA-LUNA",terra1tsx0dmasjvd45k6tdywzv77d5t9k3lpzyuleavuah77pg3lwm9cq4469pm,93465.86,0.00,0.0000,412191122884,885028462289,497763224658,7
2026-epoch-191,2026-06-15,2026-06-21,7,7,false,skeletonswap,"wBTC.axl-LUNA",terra1xhhr7x8yhv9p336t3squh5f8t2827ttrevnwrwwvqrp88nkt665qy0w07c,0.41,0.00,0.0000,369,3285485,28010,7
2026-epoch-191,2026-06-15,2026-06-21,7,7,false,skeletonswap,"bLUNA-SOLID",terra1shd0wd8atmevjtryzcqzu6sxsmc4hjek43kxqsz08wxwk4nt0wvsav9004,0.00,0.00,0.0000,1483,857,1057,7
2026-epoch-191,2026-06-15,2026-06-21,7,7,false,skeletonswap,"ampROAR-ROAR",terra1d8ap3zyd6tfnruuuwvs0t927lr4zwptruhulfwnxjpqzudvyn8usfgl8ze,38563.70,0.00,0.0000,75015545877150416,88698274876832592,80030615520483040,7
2026-epoch-191,2026-06-15,2026-06-21,7,7,false,skeletonswap,"MOAR-ROAR",terra1j0ackj0wru4ndj74e3mhhq6rffe63y8xd0e56spqcjygv2r0cfsqxr36k6,0.00,0.00,0.0000,92798544377,612957136901,234517569467,0
2026-epoch-191,2026-06-15,2026-06-21,7,7,false,skeletonswap,"LUNA-USDC",terra16a45v4k74w3yy30utfxdsekdlnks27sv48sn2suaf4wt7u6meq8scz75mx,80543.83,0.00,0.0000,767804396086,40252921109,150750839197,7
2026-epoch-191,2026-06-15,2026-06-21,7,7,false,skeletonswap,"wBTC.osmo-LUNA",terra1aysexulsnuxna62m5rlnuzfcvct3df93gd4q0kkjtjcqsvv93s5sd0fyd2,553.25,0.00,0.0000,429562,5283916994,43353267,7
2026-epoch-191,2026-06-15,2026-06-21,7,7,false,skeletonswap,"LUNA-USDt",terra1wymgwg90ry2w04avy899ucmuuak7w8n3xw2msmw2jf9rfugre0ssenx4hn,5897.67,0.00,0.0000,56191744288,2951215757,11596535545,7
2026-epoch-191,2026-06-15,2026-06-21,7,7,false,skeletonswap,"LUNA-SOLID",terra18fved7svlqq9q9h23cg4uw97lllmg7fa03psevczy20ayhdwrm3sznjeh5,78.07,0.00,0.0000,743490846,39121327,163695513,7
2026-epoch-191,2026-06-15,2026-06-21,7,7,false,skeletonswap,"LUNA-ASTRO",terra1hvntefafgn05llkqyl6uxx6j0jjwmqjtxqdrwdm43s9tkzx7xkfqkcl7h6,1.31,0.00,0.0000,11357463,1581381486,130473177,7
2026-epoch-191,2026-06-15,2026-06-21,7,7,false,skeletonswap,"LUNA-ROAR",terra126w5m24usxydxn0tjqd73k8uw06r42wttahf9t0cjyhmljlqhrdsjucx45,87.53,0.00,0.0000,839176030,199215610477913,392377159380,7
2026-epoch-191,2026-06-15,2026-06-21,7,7,false,skeletonswap,"LUNA-stLUNA",terra12exvyhctk6ggqvzj2tlhsv769llctntf5zdj9erz6q2uq4h8hn8q5k5xpg,1.64,0.00,0.0000,15018499,8835546,11433944,6
2026-epoch-191,2026-06-15,2026-06-21,7,7,false,skeletonswap,"LUNA-SWTH",terra1nll8xy7m2dyac3sww2tg7dqj8s0mlak68drgtzd9gh4yvnvpplhsn3sxnv,0.97,0.00,0.0000,9291139,169048316119,1240170883,6
2026-epoch-191,2026-06-15,2026-06-21,7,7,false,skeletonswap,"USDC-SOLID",terra1wje8lj3372njwuw8t4scmyp94t5pyxxh89tsnkrfyxghqh6aunzqz4a9k3,419.72,0.00,0.0000,209657016,210489345,205346421,7
2026-epoch-191,2026-06-15,2026-06-21,7,7,false,skeletonswap,"LUNA-wstETH",terra12hs75vlyd38zjvhegsqzr8uvz2r764fdy8mhqw0qg0s2mv858yvstwmsf8,5855.07,0.00,0.0000,55400727982,1367686057455737600,264306219490880,7
2026-epoch-191,2026-06-15,2026-06-21,7,7,false,skeletonswap,"USDC-USDt",terra178ca7z2w6346wlkmxwpw80s2a5fmas9q28xlzegkt4c4rdam67aql5fgxj,76008.10,0.00,0.0000,36590565309,39463556396,75872566019,7
2026-epoch-191,2026-06-15,2026-06-21,7,7,false,skeletonswap,"LUNA-INJ",terra1q2gd6kc7nt8xct94chrlsqtpxfs9rve0j76lquce624y5zp85cdseshh85,673.96,0.00,0.0000,6394539954,63785663776023486464,615520619297008,6
2026-epoch-191,2026-06-15,2026-06-21,7,7,false,skeletonswap,"LUNA-wBNB",terra1m5juz238n27dd24d9e3kacmqax8gu7j5ee9hhfczpl52f3n7adaqudk2c9,0.00,0.00,0.0000,7605,140,1005,6
2026-epoch-191,2026-06-15,2026-06-21,7,7,false,skeletonswap,"LUNA-wSOL",terra12u7a9wkjqrkhxjcxx70uhfx8y49j4lclfnet2smw9agpnrv9chps27n9mh,0.00,0.00,0.0000,102197312,23610750,47616649,0
2026-epoch-191,2026-06-15,2026-06-21,7,7,false,skeletonswap,"ATOM-dATOM",terra1aa8nurhuk7rwedhjyzptggypuxd3y66qp4nsx6ph240g37esdm7qyheqkd,0.00,0.00,0.0000,854320651,557699304,682653513,0
2026-epoch-191,2026-06-15,2026-06-21,7,7,false,skeletonswap,"SWTH-rSWTH",terra1nezkc3lxdxv26hqwy44jr7j9typtk39pns254ev52s9guqc2zsyqx7hvc9,0.00,0.00,0.0000,1019,982,1000,0
2026-epoch-191,2026-06-15,2026-06-21,7,7,false,skeletonswap,"wBTC.osmo-wBTC.axl",terra13ywdferm4jtcperal9png3cvhtmar5se9nu4r49k7vujrakwy9zqa3rhwe,217.47,0.00,0.0000,164138,174549,154552,7
2026-epoch-191,2026-06-15,2026-06-21,7,7,false,skeletonswap,"LUNA-arbLUNA",terra1wttdzwa6pdegtrdjdw49y0pd3dd8qd3cqn89j6t9v978lx05rr8sew5jyq,1297.33,0.00,0.0000,12318938952,4188507046,7142199009,7
2026-epoch-191,2026-06-15,2026-06-21,7,7,false,skeletonswap,"LUNA-EURe",terra1gny66hmejvrkra39cn7r8f7y7yg06hy3cv2xehpxraqfgjtdtpnqjtmu53,2849.32,0.00,0.0000,27146719812,1236973525,5524014379,7
2026-epoch-191,2026-06-15,2026-06-21,7,7,false,skeletonswap,"USDC-EURe",terra1t9uvn05g0hdlx2nnqug3lt3pkla4sfdj0n0xnd66kmwvyt25y65sk37cej,3921.77,0.00,0.0000,1962272852,1702082288,1807954599,7
2026-epoch-191,2026-06-15,2026-06-21,7,7,false,skeletonswap,"CAPA-LUNA",terra15rzp38yq2cqy2jnewc9vgzqguf3t2q0gqpv9evg8tckrtqp8x44qezhthc,432.05,0.00,0.0000,185893031235,4109945069,27035837097,7
2026-epoch-191,2026-06-15,2026-06-21,7,7,false,skeletonswap,"ATOM-stATOM",terra1c439uc3qdlfuqncxae7l07nsdgjtu45g98yhn5ydjn2866nsw3ws0e0vte,0.03,0.00,0.0000,6125,4159,5041,6
2026-epoch-191,2026-06-15,2026-06-21,7,7,false,skeletonswap,"wETH-wstETH",terra12252e02w0k5yv9mryctth4j3y2sdas0xremw0jznzwal5v3xeqjst7q537,58.74,0.00,0.0000,1821864,12534359891799810,150548229107,6
2026-epoch-191,2026-06-15,2026-06-21,7,7,false,skeletonswap,"wKWEEN-LUNA",terra12zxl99upqdyee3u7gungesaswuv3mt2e340ll5wa4kyqnj9a6ugsl7fy8c,0.00,0.00,0.0000,21100925265,191140285,1976621377,0
